Date	Symbol	removed
9/20/2021	MTCH	PRGO
9/20/2021	CDAY	UNM
9/20/2021	BRO	NOV
8/30/2021	TECH	MXIM
7/21/2021	MRNA	ALXN
6/4/2021		HFC
6/3/2021	OGN
5/14/2021	CRL	FLIR
4/20/2021	PTC	VAR
3/22/2021	NXPI	FLS
3/22/2021	PENN	SLG
3/22/2021	GNRC	XRX
3/22/2021	CZR	VNT
2/12/2021	MPWR	FTI
1/21/2021	TRMB	CXO
1/7/2021	ENPH	TIF
12/21/2020	TSLA	AIV
10/12/2020		NBL
10/9/2020	VNT
10/7/2020	POOL	ETFC
9/21/2020	ETSY	HRB
9/21/2020	TER	COTY
9/21/2020	CTLT	KSS
6/22/2020	BIO	ADS
6/22/2020	TDY	HOG
6/22/2020	TYL	JWN
5/22/2020	WST	HP
5/12/2020	DPZ	CPRI
5/12/2020	DXCM	AGN
4/6/2020		M
4/6/2020		RTN
4/3/2020	OTIS
4/3/2020	CARR
4/1/2020	HWM	ARNC
3/2/2020	IR	XEC
1/29/2020	PAYC	WCG
12/24/2019	LYV	AMG
12/24/2019	ZBRA	TRIP
12/24/2019	STE	MAC
12/10/2019	ODFL	STI
12/6/2019	WRB	VIAB
11/22/2019	NOW	CELG
10/4/2019	LVS	NKTR
9/27/2019	NVR	JEF
9/24/2019	CDW	TSS
8/10/2019	LDOS	APC
8/10/2019	IEX	FL
7/16/2019	TMUS	RHT
7/2/2019	MKTX	LLL
6/8/2019	AMCR	MAT
6/4/2019	DD	DWDP
6/4/2019	CTVA	FLR
4/3/2019	DOW	BHF
2/28/2019	WAB	GT
2/16/2019	ATO	NFX
1/19/2019	TFX	PCG
1/3/2019	FRC	SCG
12/25/2018	CE	ESRX
12/4/2018	LW	COL
12/4/2018	MXIM	AET
12/4/2018	FANG	SRCL
11/14/2018	JKHY	EQT
11/7/2018	KEYS	CA
10/12/2018	FTNT	EVHC
10/2/2018	ROL	ANDV
9/15/2018	WCG	XL
8/29/2018	ANET	GGP
7/3/2018	CPRT	DPS
6/21/2018	FLT	TWX
6/19/2018	BR	RRC
6/19/2018	HFC	AYI
6/8/2018	TWTR	MON
6/6/2018	EVRG	NAVI
6/1/2018	ABMD	WYN
4/5/2018	MSCI	CSRA
3/20/2018	TTWO	SIG
3/20/2018	SIVB	PDCO
3/20/2018	NKTR	CHK
3/8/2018	IPGP	SNI
1/4/2018	HII	BCR
10/14/2017	NCLH	LVLT
9/19/2017	CDNS	SPLS
9/2/2017	DWDP	DOW
9/2/2017	SBAC	DD
8/30/2017	Q	WFM
8/9/2017	BHF	AN
7/27/2017	DRE	RIG
7/27/2017	AOS	BBBY
7/27/2017	PKG	MUR
7/27/2017	RMD	MNK
7/27/2017	MGM	RAI
6/20/2017	HLT	YHOO
6/20/2017	ALGN	TDC
6/20/2017	ANSS	R
6/20/2017	RE	MJN
6/3/2017	INFO	TGNA
4/6/2017	IT	DNB
4/5/2017	DXC	SWN
3/21/2017	AMD	URBN
3/21/2017	RJF	FTR
3/21/2017	ARE	FSLR
3/17/2017	SNPS	HAR
3/14/2017	DISH	LLTC
3/3/2017	REG	ENDP
3/2/2017	CBOE	PBI
3/1/2017	INCY	SE
1/6/2017	IDXX	STJ
12/3/2016	MAA	OI
12/3/2016	EVHC	LM
11/2/2016	ARNC	AA
10/1/2016	COTY	DO
9/23/2016	COO	HOT
9/9/2016	CHTR	EMC
9/7/2016	MTD	TYC
7/6/2016	FTV	CPGX
7/2/2016	LNT	GAS
7/2/2016	ALB	TE
6/23/2016	FBHS	CVC
6/4/2016	TDG	BXLT
6/1/2016	AJG	CCE
5/24/2016	LKQ	ARG
5/19/2016	DLR	TWC
5/14/2016	ALK	SNDK
5/4/2016	AYI	ADT
4/26/2016	GPN	GME
4/19/2016	ULTA	THC
4/9/2016	UA
4/5/2016	FL	CAM
3/31/2016	HOLX	POM
3/31/2016	CNC	ESV
3/8/2016	UDR	GMCR
3/5/2016	AWK	CNX
2/24/2016	CXO	PCL
2/3/2016	CFG	PCP
2/3/2016	FRT	BRCM
1/21/2016	EXR	ACE
1/7/2016	WLTW	FOSL
12/31/2015	CHD	ALTR
12/17/2015		CMCSK
12/3/2015	CSRA	CSC
11/21/2015	ILMN	SIAL
11/20/2015	SYF	GNW
11/4/2015	HPE	HCBK
10/9/2015	VRSK	JOY
9/20/2015	CMCSK
9/20/2015	FOX
9/20/2015	NWS
9/4/2015	UAL	HSP
8/30/2015	ATVI	PLL
7/31/2015	SIG	DTV
7/22/2015	PYPL	NE
7/10/2015	AAP	FDO
7/8/2015	KHC	KRFT
7/4/2015	CPGX	ATI
7/3/2015	JBHT	TEG
7/3/2015	BXLT	QEP
6/13/2015	QRVO	LO
4/9/2015	O	WIN
3/25/2015	AAL	AGN
3/25/2015	EQIX	DNR
3/25/2015	SLG	NBR
3/25/2015	HBI	AVP
3/20/2015	HSIC	CFN
3/14/2015	SWKS	PETM
1/29/2015	HCA	SWY
1/29/2015	ENDP	COV
12/7/2014	RCL	BMS
11/7/2014	LVLT	JBL
9/22/2014	URI	BTU
9/22/2014	UHS	GHC
8/20/2014	MNK	RDC
8/8/2014	DISCK
7/4/2014	MLM	X
7/3/2014	AMG	FRX
6/22/2014	XEC	IGT
5/10/2014	AVGO	LSI
5/3/2014	UAA	BEAM
5/3/2014	NAVI	SLM
4/5/2014	GOOGL
4/4/2014	ESS	CLF
3/23/2014	GMCR	WPX
1/26/2014	TSCO	LIFE
12/25/2013	ADS	ANF
12/25/2013	MHK	JDSU
12/25/2013	FB	TER
12/12/2013	GGP	MOLX
12/4/2013	ALLE	JCP
11/15/2013	KORS	NYX
10/31/2013	RIG	DELL
9/22/2013	VRTX	AMD
9/22/2013	AME	SAI
9/12/2013	DAL	BMC
7/10/2013	NLSN	S
6/30/2013	FOXA	APOL
6/23/2013	ZTS	FHN
6/8/2013	GM	HNZ
5/25/2013	KSU	DF
5/10/2013	MAC	CVH
5/2/2013	REGN	PCS
2/17/2013	PVH	BIG
1/2/2013	ABBV	FII
12/23/2012	DLPH	TIE
12/13/2012	GRMN	RRD
12/5/2012	DG	CBE
10/12/2012	PETM	SUN
10/4/2012	KRFT	ANR
10/3/2012	ADT	LXK
10/3/2012	PNR	DV
9/7/2012	LYB	SHLD
8/2/2012	ESV	GR
7/4/2012	STX	PGN
7/1/2012	MNST	SLE
6/7/2012	LRCX	NVLS
5/23/2012	ALXN	MMI
5/19/2012	KMI	EP
4/25/2012	PSX	SVU
4/5/2012	FOSL	MHS
3/15/2012	CCI	CEG
1/3/2012	WPX	CPWR
12/23/2011	TRIP	TLAB
12/19/2011	BWA	AKS
12/19/2011	PRGO	MWW
12/19/2011	DLTR	WFR
12/15/2011	GAS	GAS
11/21/2011	CBE	JNS
#VALUE!
11/3/2011	XYL	ITT
10/17/2011	TEL	CEPH
9/26/2011	MOS	NSM
7/8/2011	ACN	MI
7/3/2011	MPC	RSH
6/4/2011	ANR	MEE
#VALUE!
4/30/2011	CMG	NOVL
4/4/2011	BLK	GENZ
4/3/2011	EW	Q
3/3/2011	COV	MFE
2/28/2011	JOY	AYE
12/20/2010	CVC	KG
12/20/2010	FFIV	EK
12/20/2010	NFLX	ODP
12/20/2010	NFX	NYT
11/20/2010	IR	PTV
8/29/2010	TYC	SII
7/17/2010	CB	MIL
7/3/2010	QEP	STR
7/1/2010	KMX	XTO
5/2/2010	CERN	BJS
3/1/2010	HP	RX
12/21/2009	V	CIEN
12/21/2009	MJN	DYN
12/21/2009	CLF	KBH
12/21/2009	SAI	CVG
12/21/2009	ROST	MBI
11/6/2009	PCLN	SGP
10/1/2009	ARG	CBE
3/6/2009	HRL	ACAS
3/6/2009	VTR	JNY
1/3/2009	OI	WB
9/19/2008	HRS	LEH
9/15/2008	CRM	FRE
9/15/2008	FAST	FNM
6/13/2008	LO	ABK
12/24/2007	RRC	TRB
12/17/2007	GME	DJ
10/30/2007	JEC	AV
10/6/2007	EXPE	SLR
10/5/2007	TDC	NCR
10/1/2007	TSO	MXIM
9/30/2007	ICE	FDC
8/28/2007	LUK	KSE
4/3/2007	KFT	TSG
1/14/2007	AVB	SBL
6/6/2006	JNPR	ABS
11/22/2005	AMZN	T
7/5/2005	STZ	GLK
9/30/2003	ESRX	QTRN
12/10/2000	INTU	BS
12/10/2000	SBL	OI
12/10/2000	AYE	GRA
12/10/2000	ABK	CCK
8/1/2000	JDSU	RAD
12/13/1999	YHOO	LDW

